HOTEL_NAME,CATEGORY,COMMUNITY,Parish,ADDRESS,Number of Rooms,Stars,Longitude,Latitude,Date_Visited,Room Rate
Palace View,Beach Hotel,Negril,Westmoreland,"Lighthouse Road, Negril P.O.",50,3,-77.530084,18.4826548,5/7/2017,
Peaceful Garden,Bed & Breakfast,Negril,Westmoreland,,60,5,-77.52685052,18.48386956,8/6/2017,
Perserverance,Bed & Breakfast,Negril,Westmoreland,"Norman Manley Boulevard, P.O.",25,3,-77.52416172,18.48177921,1-Oct-17,
Plantation House Reso,Beach Hotel,Negril,Westmoreland,Red Ground,26,3,-77.46053214,18.47187862,1-Jun-17,
Point Village Resort,Beach Hotel,Negril,Westmoreland,Norman Manley Blvd. Box 105 N,60,3,-77.41244817,"18.460032004,",29-Jun-17,
Swept Away Hotel (All,Beach Hotel,Negril,Westmoreland,"P.O. Box 3077, N.M. Blvd.",66,4,-77.09598512,18.4098009,5-Jun-17,
Whistling Bird,Bed & Breakfast,Negril,Westmoreland,"Norman Manley Blvd, P.O. Box",75,3,-76.79467291,18.00702148,15-Nov-17,
White Sands Cottage,Bed & Breakfast,Negril,Westmoreland,"Norman Manley Boulevard, P.O.",23,3,-76.79189577,18.00601786,22-Jul-17,
Negril Beach Resort,Beach Hotel,Negrio,Westmoreland,"N.M. Boulevard, P.O. Box 75",25,3,-77.53838589,18.47948237,21-Sep-17,
Mariner's Inn,Bed & Breakfast,West End,Westmoreland,"West End Road, P.O. Box 61 Ne",15,3,-77.76068072,17.87812606,11-Sep-17,
Ocean Edge Resort,Bed & Breakfast,West End,Westmoreland,West End Rd. P.O. Box 71 Negr,30,3,-77.53440273,18.48618019,7-Jun-17,
Mahogany Inn,Bed & Breakfast,Negril,Westmoreland,Negril P.O. Box 61,25,2,-77.81444485,18.52224843,11/17/2017,
,,,,,,,,,,
,,,146,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
